headline,abstract,pub date,original,person rank,keywords,lead paragraph,news desk,section name,type of material
Quotation of the Day: A Mother’s Fatal Fall on Subway Stairs Rouses New Yorkers to Demand Accessibility,"Quotation of the Day for Wednesday, January 30, 2019.",2019-01-30T01:51:51+0000,,1,[],"“Once in a while, you’d meet a great human being who would help you get down the stairs.”",Summary,Today’s Paper,Quote
"Corrections: January 30, 2019","Corrections appearing in print on Wednesday, January 30, 2019.",2019-01-30T01:59:37+0000,,1,[],FRONT PAGE,Corrections,Corrections,Correction
Many Texas Voters Whose Citizenship Was Questioned Are in Fact Citizens,"The Texas secretary of state last week called into doubt the citizenship status of 95,000 voters. Now his claim seems to be unraveling.",2019-01-30T02:35:27+0000,By Liam Stack,1,"['Voter Registration and Requirements', 'Citizenship and Naturalization', 'Texas']","A claim made last week by the Texas secretary of state — that 95,000 registered voters had a citizenship status that could not be determined — appeared to fall apart on Tuesday when local election officials said many of the people were known to be United States citizens.",Express,U.S.,News
"Review: In ‘God Said This,’ a Hot Mess of a Daughter Heads Home",A prizewinning play by Leah Nanako Winkler puts the traditional “crazy family” dramedy in a new social and racial setting.,2019-01-30T02:45:04+0000,By Jesse Green,1,"['Theater', 'God Said This (Play)', 'Winkler, Leah Nanako', 'Gould, Morgan', 'Primary Stages Co']","Whether identifying as black, female, Latinx, queer, trans, Native American, Asian-American, Arab-American, disabled, Muslim, biracial or any combination thereof, playwrights traditionally marginalized in the theater face a second problem if their work finally ekes its way to the stage. They often feel pressure, from critics and producers, to depict globally and endorse unequivocally their diverse communities — which is bad for them and worse for their stories.",Culture,Theater,Review
Can China Turn the Middle of Nowhere Into the Center of the World Economy?,"In the barely inhabited steppes of Central Asia, it is establishing the next foothold in its trillion-dollar campaign to transform global infrastructure.",2019-01-30T02:58:34+0000,,1,"['China', 'Economic Conditions and Trends', 'International Trade and World Market', 'Kazakhstan', 'Ships and Shipping', 'Politics and Government']","In the barely inhabited steppes of Central Asia, it is establishing the next foothold in its trillion-dollar campaign to transform global infrastructure.",Magazine,Magazine,Interactive Feature
Unproductive,"Emily Carroll offers us something delicious, and we need to solve it. Quickly.",2019-01-30T03:00:00+0000,By Deb Amlen,1,['Crossword Puzzles'],"WEDNESDAY PUZZLE — My idea of torture would be to have someone make me something delicious to eat and then, just as I was about to take a bite, take it away. An even worse scenario would be if the delicious food departed of its own accord.",Games,Crosswords & Games,News
"Brexit, Apple, Venezuela: Your Wednesday Briefing",Let us help you start your day. ,2019-01-30T04:42:54+0000,By Penn Bullock,1,[],(Want to get this briefing by email? Here’s the sign-up.),NYTNow,Briefing,briefing
Trump Organization to Use E-Verify to Prevent Hiring Undocumented Immigrants,The decision comes after The New York Times reported that the president’s company was employing people who were in the country illegally at its flagship golf club in New Jersey.,2019-01-30T04:53:19+0000,By Miriam Jordan,1,"['Trump Organization', 'Illegal Immigration', 'Identification Devices', 'Foreign Workers', 'Trump, Eric F (1984- )', 'Bedminster (NJ)']",The Trump Organization said late Tuesday that it was implementing a system to weed out undocumented immigrants who try to get jobs at its properties. The move followed reports in The New York Times  last month that the president’s company was employing people at its flagship golf club in New Jersey who are in the country illegally.,National,U.S.,News
Rangers Lose to the Streaking Flyers,"Anthony Stolarz made a career-high 38 saves, and Oskar Lindblom scored the lone goal as the Philadelphia Flyers defeated the Rangers, 1-0.",2019-01-30T04:58:25+0000,By Field Level Media,1,"['Hockey, Ice', 'New York Rangers', 'Philadelphia Flyers']","Anthony Stolarz made a career-high 38 saves, and Oskar Lindblom scored the lone goal Tuesday night as the Philadelphia Flyers defeated the host Rangers, 1-0.",Sports,Sports,News
Grenade Attack on Philippine Mosque Kills Two,The attack in the city of Zamboanga was the second in days on a place of worship in the Philippines’ restive south. A cathedral bombing on Sunday killed 21.,2019-01-30T05:11:19+0000,By Jason Gutierrez,1,"['Philippines', 'ABU SAYYAF', 'Islamic State in Iraq and Syria (ISIS)', 'Terrorism']","MANILA — A grenade was lobbed into a mosque in the southern Philippines before dawn on Wednesday, killing two Muslim religious leaders, in the second attack in days on a place of worship in the restive south, officials said.",Foreign,World,News
