headline,abstract,lead paragraph,first keyword,type of material,lead paragraph keywords,Main Keywords lead paragraph (tf- idf),abstract keywords,Main Keywords abstract (tf- idf),headline keywords,Main Keywords headline (tf- idf)
"Brazil Wanted Change. Even Before Taking Office, Jair Bolsonaro Delivered.","In electing Mr. Bolsonaro, a far-right politician who becomes president on Tuesday, voters signaled a desire for radical change. It is already underway.",RIO DE JANEIRO — Brazilians signaled a desire for a radical shift in the country’s course when they elected the far-right lawmaker Jair Bolsonaro as their next president in October.,"Bolsonaro, Jair (1955- )",News,"rio, de, janeiro","['rio', 'brazilian', 'desir', 'shift', 'countri', '’', 'cours', 'lawmak', 'jair', 'bolsonaro', 'presid', 'octob']","electing, mr, bolsonaro","['mr', 'bolsonaro', 'politician', 'presid', 'voter', 'desir', 'chang']","brazil, wanted, change","['brazil', 'chang', 'offic', 'jair', 'bolsonaro']"
Who’s Really Getting Ripped Off by $35 Sage?,Demand for the new ‘it shrub’ is pushing up prices — and irritating some members of America's indigenous communities.,"Note: After publication, the price of the Etsy sage kit was reduced from $14,770 to $147.70.",Fads,News,"note, publication, price","['note', 'public', 'price', 'sage', 'kit']","demand, new, shrub","['demand', '‘', '’', 'price', 'member', 'commun']","really, getting, ripped",['sage']
"Los Cabos, a Spring Break Hub, Gets a High-End Infusion","Stylish venues have emerged to cater to a crowd that appreciates modern design, farm-to-table meals, and sipping drinks as opposed to drinking shots.","I heard about it years before I first made it there. A beach paradise framed by turquoise waters and hulking, golden desert rocks, a place for spring breaks and bachelorette parties, where, if the early ’00s MTV reality series “The Hills” was to be believed, tequila shots and “drama, drama, drama” ruled. Cabo. Those in the know simply referred to it as Cabo.",Travel and Vacations,News,"drama, cabo, heard","['year', 'beach', 'paradis', 'turquois', 'water', 'desert', 'place', 'spring', 'break', 'bachelorett', 'parti', '’', 'mtv', 'realiti', 'seri', 'hill', '”', 'shot', 'drama', 'drama', 'drama', '”', 'cabo', 'know', 'cabo']","stylish, venue, emerged","['venu', 'crowd', 'design', 'meal', 'drink', 'shot']","los, cabos, spring","['lo', 'spring', 'break', 'highend', 'infus']"
The House the Dog Found,Buying a house in Brooklyn isn’t easy these days. Sometimes you need help from unexpected quarters.,"C.C. Hirsch and Vanessa Pappas spent three years looking for a house to buy in Brooklyn, where Park Slope meets Windsor Terrace. But it wasn’t their Trulia searches or open house visits that led them to the home they eventually bought. It was their miniature schnauzer, Ziggy Stardust.",Real Estate and Housing (Residential),News,"c, house, hirsch","['cc', 'hirsch', 'pappa', 'year', 'hous', 'brooklyn', 'park', 'slope', 'terrac', 'search', 'hous', 'visit', 'home', 'miniatur', 'schnauzer', 'ziggi', 'stardust']","buying, house, brooklyn","['hous', 'brooklyn', '’', 'day', 'quarter']","house, dog, found","['hous', 'dog']"
Time to Get Out of Afghanistan,The United States is spending beyond its means on a mission that might only be helping its strategic rivals. ,"The decision by President Trump to withdraw 7,000 of the roughly 14,000 American troops left in Afghanistan, possibly by summer, has raised new concerns about his impulsive behavior, especially given his nearly simultaneous decision to pull out all American forces from Syria against the advice of Defense Secretary Jim Mattis. But the downsizing of the Afghan mission was probably inevitable. Indeed, it may soon be time for the United States to get out of the country altogether.",United States Defense and Military Forces,Op-Ed,"decision, 000, american","['decis', 'presid', 'trump', 'troop', 'afghanistan', 'summer', 'concern', 'behavior', 'decis', 'forc', 'syria', 'advic', 'defens', 'secretari', 'jim', 'matti', 'downsiz', 'mission', 'time', 'state', 'countri']","united, state, spending","['state', 'mean', 'mission', 'rival']","time, get, afghanistan","['time', 'afghanistan']"
Brooklyn Bridal. It’s a Thing. And a Place to Find Your Dress.,"Small boutiques, with custom-made dresses and accessories — all made in Brooklyn — are showing up all over the borough.","New bridal boutiques and ateliers in Brooklyn, specifically Gowanus, Greenpoint, Boerum Hill and Bedford-Stuyvesant, sell wedding dresses and accessories by young women designers who understand the needs of a bride seeking elegant, contemporary design with handmade embellishments, and, often a one-of-a-kind dress made just for her.",Dresses,News,"dress, new, bridal","['bridal', 'boutiqu', 'ateli', 'brooklyn', 'greenpoint', 'boerum', 'hill', 'bedfordstuyves', 'sell', 'wed', 'dress', 'accessori', 'woman', 'design', 'need', 'bride', 'design', 'embellish', 'oneofakind', 'dress']","made, small, boutique","['boutiqu', 'custommad', 'dress', 'accessori', '—', 'borough']","brooklyn, bridal, thing","['brooklyn', '’', 'thing', 'place', 'dress']"
Taiwan’s Leader Urges China to Address Differences Peacefully,"President Tsai Ing-wen stressed that Taiwan’s people still want self-rule, weeks after candidates favoring closer ties with China won mayoral elections in major cities.",President Tsai Ing-wen of Taiwan urged China on Tuesday to seek a peaceful solution to its differences with Taiwan and stressed that the island’s people want to maintain self-rule.,Politics and Government,News,"taiwan, president, tsai","['presid', 'ingwen', 'taiwan', 'china', 'tuesday', 'solut', 'differ', 'taiwan', 'island', '’', 'peopl', 'selfrul']","president, tsai, ing","['presid', 'tsai', 'ingwen', 'peopl', 'week', 'candid', 'closer', 'tie', 'elect', 'citi']","taiwan, leader, urge","['’', 'leader', 'urg', 'differ']"
‘Genesis 2.0’ Review: How to Clone a Mammoth,Is it possible to bring back the mammoth? The documentary “Genesis 2.0” investigates.,"The other films of 2019 deserve a chance, but so far, “Genesis 2.0” is the best movie of the year to ask the question: What does mammoth meat that has been frozen for tens of thousands of years taste like?",Documentary Films and Programs,Review,"year, film, 2019","['film', 'deserv', 'chanc', 'genesi', '”', 'movi', 'year', 'question', 'meat', 'ten', 'thousand', 'year']","possible, bring, back","['mammoth', '“', 'genesi', '”', 'investig']","genesis, 2, 0","['genesi', '’', 'mammoth']"
"The Best Movies and TV Shows New to Netflix, Amazon and More in January","Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for January.",Watching is The New York Times’s TV and film recommendation website. Sign up for our thrice-weekly newsletter here.,Television,News,"watching, new, york","['watch', 'york', 'time', 'tv', 'film', 'recommend', 'websit', 'sign', 'newslett']","every, month, subscription","['month', 'subscript', 'servic', 'batch', 'titl', 'librari', 'one', 'januari']","best, movie, tv","['movi', 'tv', 'show', 'amazon']"
Happy New Year,Get ready for a year dominated by the struggle over a scandal-plagued presidency.,This article is part of the Opinion Today newsletter. You can sign up here to receive the newsletter each weekday.,Podcasts,Op-Ed,"newsletter, article, part","['articl', 'part', 'opinion', 'today', 'newslett', 'weekday']","get, ready, year","['year', 'struggl', 'presid']","happy, new, year",['year']
Stabbing in Manchester Train Station Is Being Investigated as Terrorism,"A man was arrested moments after three people were wounded in a knife attack, near the site of a bombing at an Ariana Grande concert in 2017.","LONDON — A knife attack that wounded three people in a busy train station in Manchester, England, is being investigated as an act of terrorism, the police said on Tuesday.",Terrorism,News,"london, knife, attack","['london', 'knife', 'attack', 'peopl', 'train', 'station', 'manchest', 'england', 'act', 'terror', 'polic', 'tuesday']","man, arrested, moment","['man', 'moment', 'peopl', 'knife', 'attack', 'site', 'bomb', 'grand', 'concert']","stabbing, manchester, train","['manchest', 'train', 'station', 'terror']"
Recent Commercial Real Estate Transactions,Recent commercial real estate transactions in New York.,$33 MILLION,Real Estate and Housing (Residential),News,"33, million",[],"recent, commercial, real","['estat', 'transact', 'york']","recent, commercial, real","['estat', 'transact']"
"Big Tech May Look Troubled, but It’s Just Getting Started","Even as Facebook, Google and others confronted challenges in 2018, their ambitions were undimmed. After all, so much of life remains undisrupted.","SAN JOSE, Calif. — Silicon Valley ended 2018 somewhere it had never been: embattled.",Computers and the Internet,News,"san, jose, calif","['calif', '—', 'silicon', 'valley']","even, facebook, google","['facebook', 'googl', 'other', 'challeng', 'ambit', 'life', 'remain']","big, tech, may","['tech', '’']"
Taliban Attacks in Northern Afghanistan Kill 27 Security Officers,The coordinated strikes by the militant group came weeks after President Trump ordered a drawdown of American forces from Afghanistan.,"MAZAR-I-SHARIF, Afghanistan — At least 27 members of security forces in northern Afghanistan were killed by the Taliban in a series of coordinated attacks on Tuesday, officials said, and dozens of others were wounded.",Afghanistan War (2001- ),News,"afghanistan, mazar, sharif","['mazarisharif', 'afghanistan', '—', 'member', 'secur', 'forc', 'afghanistan', 'taliban', 'seri', 'attack', 'tuesday', 'offici', 'dozen', 'other']","coordinated, strike, militant","['strike', 'group', 'week', 'presid', 'trump', 'drawdown', 'forc', 'afghanistan']","taliban, attack, northern","['taliban', 'attack', 'afghanistan', 'kill', 'secur', 'offic']"
"American Accused of Spying in Russia Is Marine Veteran Who Visited Moscow for Wedding, Family Says","Paul Whelan, who worked in corporate security for an auto parts maker, was arrested in Moscow. His family says he was attending a wedding and insists he is innocent.","The American man who was arrested last week in Russia on a spying charge is a Marine Corps veteran who was in Moscow to attend a wedding, his family said on Tuesday.","Whelan, Paul N",News,"american, man, arrested","['man', 'week', 'russia', 'charg', 'corp', 'veteran', 'moscow', 'famili', 'tuesday']","paul, whelan, worked","['paul', 'whelan', 'secur', 'auto', 'part', 'maker', 'moscow', 'famili', 'wed', 'insist']","american, accused, spying","['russia', 'veteran', 'moscow', 'famili']"
